SMD,Candidate Name,Pull Quote,Writeup Link
1A03,Joseph Schmitt,,
1A04,Jeremy S. Sherman,,
1A06,Arjun Singh,,
1A07,Shane D. McCarthy,,
1A09,Daniela Kelley,,
1A10,Vida Rangel,,
1B02,Frank Chauvin,,
1B03,David Seidman,,
1B03,J. Swiderski,,
1B04,Guneev Sharma,,
1B05,Lisa Rucker,,
1B07,Matthew Holden,,
1B08,Brittany Beekman,,
1C03,Kendall Gibson,,
1C09,Malinda Frevert,,
1D01,Sam Bell,,
1D05,Omar Parbhoo,,
1D06,Keith S. Krosinsky,,
1E01,Brad Howard,,
1E02,Audra K. Grant,,
1E03,Philippa Hawker,,
1E04,Rashida E Brown,,
1E06,Joshua Jacobson,,
1E07,Mark A. LeMunyon,,
2B01,Cameron G. Yen,,
2B02,Zach Epstein,,
2B02,Jeffrey Rueckgauer,,
2B04,Madison Crum,,
2B05,Alex Marshall,,
2B06,Matt Johnson,,
2B07,Kendall Simonds,,
2B08,Zachary Adams,,
2C02,Nancy Groth,,
2C03,Thomas S. Lee,,
2G01,Howard Garrett,,
2G04,Steven M. McCarty,,
2G06,Katelyn McNelis,,
3A01,Thaddeus Bradley-Lewis,,
3A03,Isaac Bowers,,
3B02,Kevin Youel Page,,
3C02,Adam J. Prinzo,,
3C03,Janell Pagats,,
3C04,Erin Beard,,
3C05,Peter Miles,,
3C06,Joshua Peacock,,
3C07,Gawain Kripke,,
3C08,Connor H. O’Brien,,
3D01,Andrew Heimert,,
3E02,Amy B. Hall,,
3E04,Tom Quinn,,
3F05,Spenser Dettwyler,,
3/4G01,Lisa R. Gore,,
3/4G03,Shannon Tregar,,
3/4G05,Karrenthya Simmons,,
4A03,Christian X Hara,,
4B01,Dave Cooke,,
4B02,Christopher Sousa,,
4B04,Charlie Mayer,,
4B05,Joe Barrios,,
4B06,Tiffani Nichole Johnson,,
4B07,Julie Patton Lawson,,
4C01,Emily Winternitz,,
4C02,Josh Mahan,,
4C03,Mike Warburton,,
4C04,Monica E. Arrington,,
4C05,Brittany Kademian,,
4C06,John Qua,,
4C07,Lionel Dripps,,
4D01,Matthew Staed,,
4D02,Abel Amene,,
4D03,David Brotman,,
4D04,Eliza Cava,,
4D05,Stephen Marencic,,
4D06,Joey Baietti,,
4D07,Brittany Vesce,,
4E03,Maria Barry,,
4E04,Hal Gordon,,
5B01,Amy Enchelmeyer,,
5B02,Bree Ryback,,
5B03,Jingwen Sun,,
5B05,Michael Chaney,,
5B06,Maya Vizvary,,
5B07,Zahid Rathore,,
5C02,Danielle Henry,,
5D01,Austin Bowen,,
5D03,Marcus Thaw,,
5D05,Rashema Collins,,
5E01,Kyle Gardiner,,
5E02,Ada Avitabile,,
5E02,Matt Malinowski,,
5E03,Andrew Waks,,
5E04,Huma Imtiaz,,
5E05,Ashton DeLano,,
5E06,Tristan Zoerb,,
5F02,Matthew Frichtl,,
5F04,Melissa L Coughlin,,
5F05,Andrew Pendleton,,
5F06,Joe Bishop-Henchman,,
6A01,Scott Burger,,
6A02,Kimberly S. Butler,,
6A05,Morgan Conley,,
6A06,Daniel Aboagye,,
6B03,David Sobelsohn,,
6B07,Rachel E. Feinstein,,
6B08,Jeffrey Menzer,,
6B09,Karen Hughes,,
6C06,Lorenzo Cinalli,,
6C07,Grayson Lewis,,
6D01,Garritt Garcia,,
6D03,Katie Henke,,
6D04,Manasi Raveendran,,
6D06,Mitchell Calhoun,,
6E04,Julia Fiedler,,
7B03,Travis R. Swanson,,
7B07,Jimmie Williams,,
7C03,Carlos D. Richardson,,
7C06,LaDan Wallace Johnson,,
7D04,Katie Murphy,,
7D06,Donte D Massey,,
7D09,Ashley Schapitl,,
7D10,Dev Myers,,
7E04,Patricia Stamper,,
8A01,Tom Donohue,,
8A06,Ty'on L. Jones,,
8B01,Margaret Thomas,,
8C04,Kendall Ridley,,
8C08,Joy Page,,
8E01,Vickie R. Lipscomb,,
6/8F03,Brian Strege,,
6/8F05,Dayan Reynolds,,
