SMD,Candidate Name
1B02,Ilsy Bu Orellana
1C04,Courtney L. Sexton
1E07,Stephen Bauer
2B01,James Bassett
2C02,John Fredericks
2E07,Brian Saligman
2G05,Sheena Berry
2G06,Alex Tsalyuk
3B06,Christine Warnke
4B01,Alphonse Canata
4B07,Melissa Crawford
4C04,Landon Isenberg
4E01,Rebekkah S. Green
5A03,Yvette Williams
5A04,Jack Hermes
5B01,Deborah Colvin
5B05,Monica Martinez Lopez
5B06,Felecia Abney-Barber
5B06,Tyrone A. Gibson
5C03,Tequia Hicks Delgado
5C05,Darlene Oliver
5D01,Reginald Parker Shaw-Richardson
5D05,Salvador Sauceda-Guzman
5D06,Alexandria K. June
5D06,Crystal Hamlin
5D07,Bryhan A. Ivery
5E01,Marcia Williams
5E05,Robert Vinson Brannum
5F04,Daniel Vega
6A03,Rob A. Jackson II
6C07,Tony T. Goodman
6D01,Marquell Merlin Washington
6D01,Oliver Roy
6D02,"David Bowman, Jr"
6D05,Chearie Phelps-El
7B01,Kiara Rutherford
7C01,Leron Douglas
7C08,Brandon Scott
7E05,Mihai Psederski
7F01,Tyrell M Holcomb
7F02,Ashley Renee Ruff
8A02,Brenda Douyon
8A04,"Fred Gamble, Jr"
8B04,Kimberly M. Little
8B05,Kawana J. Williams
8B06,Marcus Thomas Hickman
8B07,Opal Sturghill
8C04,De’Ja Edmundson
8C06,Diamond Douglas
8D01,Travon Hawkins
8D03,Cassandra M. Matthews
8D08,Randell Strickland
8D08,Marquis Dion Cotton
8E06,P. Long-Opher
6/8F01,Dolores Miracle Bryant
6/8F05,Kim Alston
8D06,Frederick Nelson
