Respondent ID,,,,,Select the Advisory Neighborhood Commission in which you are running:,Select the SMD in which you are running:,"Do you think there are not enough homes, enough homes, or too many homes in your ANC?",Which of the following statements most aligns with your beliefs?,"I consider affordable housing to be (check all that, in your opinion, apply):","I consider market-rate housing to be (check all that, in your opinion, apply):","If you’d like, elaborate on what you believe to be the distinction between affordable housing and market-rate housing. (Max. 1,500 characters.)",Check any of the below combinations of features that you would consider social housing.,"What does family-sized housing mean to you? (Max. 1,500 characters.)","Are there not enough historic districts, enough historic districts, or too many historic districts in your ANC?",Do you think inducing residents and visitors to drive less should be an explicit policy goal of the District?,"Do you think there are not enough cars, enough cars, or too many cars in the District?",How many vehicles do you think a family of four needs to get by in the District?,"Do you think there is not enough parking, enough parking, or too much parking in your ANC?","Do you think there are too few bars and restaurants, enough bars and restaurants, or too many bars and restaurants in your ANC?",Which statement do you agree with most?,"Should apartments—for example, sixplexes—be legal in all parts of all the District's neighborhoods?","If you selected, ""No,"" explain why you think apartments shouldn't be legal in all parts of all the District’s neighborhoods. Otherwise, write N/A. (Max. 3,000 characters.)",Should the District’s historic preservation laws be amended to remove height and mass from the purview of the Historic Preservation Review Board?,"Mayor Muriel Bowser failed to meet her 2019 target of achieving “an equitable distribution of no less than 15 percent affordable housing in each planning area by 2050."" Do you agree that 15 percent of all homes in a planning area should be affordable?","Janeese Lewis George, the Democratic nominee for mayor of Washington, D.C., committed to a goal of building 72,000 new homes in five years. That’s equal to about 210 units per single-member district, or 1,565 units per ANC. Hypothetically, where do you think 210 new homes should be built in your SMD or ANC? If you do not think new housing should be built in your SMD or ANC, please write, ""I do not think new housing should be built in my SMD or ANC.” (Max. 3,000 characters.)","In the District, planned unit developments “allow developers flexibility to meet objectives such as use, density, site planning, and design” by incorporating “public benefits that exceed those that could have been achieved under the general provisions of the Zoning Regulations.” Not all commissioners will work on a PUD but, if one is proposed, ANCs may be able to negotiate which benefits developers might provide in exchange for greater height and density. Developers rarely propose PUDs because of the time and complexity that the Zoning Commission has added to approvals. Which of the following statements most aligns with your preferences?","Greater Greater Washington is considering submitting to the Zoning Commission a proposal to enable a variety of smaller-scale housing types where they are not currently possible to build. Our proposal would allow one additional home per lot in R and RF zones. It would also decrease minimum lot area and width, and increase minimum lot capacity. You can see what parts of the District those zones cover on our indicator map. Would you support a proposal that enabled the following?

Increasing the homes allowed in R-1A zones from one to two per lot
Increasing the homes allowed in R-1B, R-2, and R-3 zones from one to three per lot
Increasing the homes allowed in RF-1 zones from two to three per lot
Increasing the homes allowed in RF-4 zones from three to four per lot
Increasing the homes allowed in RF-5 zones from four to five per lot",At what point do you no longer consider someone’s home “near transit”?,Do you support removing parking and travel lanes to build dedicated bus lanes? See how many people in your ANC and SMD live near frequent transit on our indicator map.,Do you support removing parking and travel lanes to build protected bike lanes? See how many people in your ANC and SMD live near protected bike lanes on our indicator map.,"Do you support the implementation of road pricing (also referred to as congestion pricing) in downtown Washington, D.C.? The “small study area” in the map below shows approximately where a road-pricing charge could apply.Since a $9 congestion toll was introduced in Manhattan in January 2025, it has generated $700 million in revenue for New York City. Broadway had its highest-grossing year on record, and air quality improved across all five boroughs. Traffic injuries dropped in the congestion relief zone. In 2024, there were 6,455 reported crashes and 3,117 injuries. By 2025, reported crashes had dropped 5 percent, to 6,137, and injuries dropped 3.6 percent, to 3,003. https://surveymonkey-assets.s3.amazonaws.com/survey/528100308/rte/0fbead89-6503-41b9-b75a-3df3cc86dddc.png",Will you participate in the yearly National Week Without Driving?,"The District's plan to be carbon-free by 2045 requires residents to reduce the trips they take by car. Please describe at least one trip you currently take by car (even if you, yourself, are not driving) that you can commit to taking on foot, by bus, by train, via a mobility device, or by bike instead. (Max. 1,500 characters.)","What do you feel is the biggest issue in your neighborhood, and what is your position on it? Given the limited scope of commissioners’ authority, what would you most realistically do about that issue if elected? (Max. 1,500 characters each.)","ANC commissioners represent about 2,000 constituents, on average. With the understanding that you are not going to hear from every single one of them during your term, and that those you do hear from may not represent a majority view of the 2,000 people you represent, describe how you plan to make decisions as an elected representative. (Max. 3,000 characters.)","Why do you think you are the right person to serve as an ANC commissioner for your SMD? (Max. 1,500 characters.)","Is there anything else you'd like GGWash to take into consideration about your positions on housing, affordable housing, transportation, and land use? (Max. 3,000 characters.)"
,Name,Email,Campaign-related social media accounts,"Fundraising link, if applicable",Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Response,Response,Open-Ended Response,Response,Response,Response,Response,Response,Response,Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response,Open-Ended Response
119183822396,Jonathan Hogue,,https://sites.google.com/view/jonathanhogueforanc4d02?usp=sharing,,4D,4D02,Not enough homes,"It's more important to enable more homes, and more types of homes, in more of our neighborhoods, even if that results in pushback for “changing a neighborhood’s character.”",Means-tested or income-restricted; Rent-controlled; Costing no more than 30 percent of one’s household income,Not means-tested or income-restricted; Unsubsidized; Not rent-controlled,N/A,"District-owned housing on District-owned land, built by a District agency and managed by a private property-management company; District-owned housing on District-owned land, built by a private construction company and managed by a District agency; District-owned housing on District-owned land, built by a private construction company and managed by a private property-management company","Today, family makeup looks different than they did under the traditional norm. Family-sized housing in Washington, D.C. can be found in apartments, condos, or traditional homes. I believe family-sized housing should include a bedroom for the parent(s) and a bedroom for each child or family member who resides in the dwelling. Additionally, family-sized housing should include shared living space for family activities and adequate, flexible storage space that can adapt to a family’s needs. I also believe family-sized housing should feature child-friendly areas for play, whether that is a yard, shared play area, or nearby access to parks. This aspect of home life is critical to children’s development and a family’s overall connection to their community.",Enough historic districts,"Yes, inducing residents and visitors to drive less should be an explicit policy goal of the District.",Too many cars,Zero,Enough parking,Enough bars and restaurants,"New housing of all types should be built throughout all neighborhoods. Building more densely near transit is important, but people also deserve the option to live in rowhomes and small apartment buildings, even if those homes are not within a set proximity to a bus stop or train station.","Yes, apartments should be legal in all parts of all the District's neighborhoods.",N/A,"No, height and mass should not be removed from the purview of the Historic Preservation Review Board.",I agree that 15 percent of all homes in a planning area should be affordable.,"Housing development was a recurring topic during my one-on-one conversations with neighbors in my SMD. Since COVID-19, we have seen a rise in the number of condominiums and apartment buildings being built in our SMD, which has changed the landscape of the neighborhood and raised concerns among some residents about whether we have the transportation and other resources needed to support further development. I am not for building more housing in my immediate SMD today, but I would support additional housing elsewhere in the ANC (4D). I would work with other Commissioners to better understand how to propose buildings in locations that equitably share community resources and ensure SMDs see equitable growth in housing without outpacing the resources needed to support the additional residents that new housing would bring.","I would prefer to negotiate a PUD. The delay in the production of new housing is worth the potential for—if not the guarantee of—benefits such as improvements to streets and sidewalks or more income-restricted, subsidized units than are required by District law.",I would support a zoning text amendment enabling an additional home per lot in R and RF zones.,If their home is further than a 10-minute walk to a bus stop or train station.,"Yes, I support removing parking and travel lanes to build dedicated bus lanes.","Yes, I support removing parking and travel lanes to build protected bike lanes.","Yes, I support the implementation of road pricing.","Yes, I will participate in the National Week Without Driving every fall.","I frequently visit the Aldi near Fort Totten for weekly grocery trips. I’ve often driven because it has a parking garage, but I recently mapped out a walkable route from my home. Walking there provides another vantage point to better understand how the community is developing. Moving forward, I commit to doing more grocery trips on foot, along with increasing my walks and use of the bus to get to and from the Fort Totten Metro Station.","One of the biggest issues in my neighborhood is ensuring we see equitable development across our SMD. During recent conversations with neighbors, several expressed concerns about the growth of development along Kennedy Street, fueled by investment from wealthy developers that can limit locals’ ability to invest in and grow their own businesses right at home. Additionally, neighbors do not feel they have an adequate say in weighing in on what businesses or housing types are being added to their neighborhood. I believe that development is only beneficial if it is co-created by the people who will be most impacted by it. The city needs to provide residents with grants or financing programs that can make starting businesses in our communities more accessible. When it comes to community involvement, ANCs need to have a more vocal presence in the neighborhood and communicate changes and opportunities for community input to neighbors in various ways, ensuring they have meaningful opportunities to voice their unique desires for change.  If elected, I would support prioritizing local business development and advocate for our councilmember and the new mayor to conduct more analysis on the number of D.C. small-business owners by SMD and work with ANCs to provide more input on the programs, outreach, and training residents need to turn their ideas into tangible business opportunities. We should also help residents understand how to turn their existing networks into avenues for economic growth and ensure everyone understands how they can contribute to the neighborhood’s economic and overall well-being.","Democracy on paper is a noun, but in reality, it is a verb. During my campaign, I have expanded my outreach beyond traditional media to meet neighbors where they are. This includes creating flyers, doing multiple rounds of door-knocking, providing a campaign phone number, and developing a website where neighbors can learn more about my work and ideas for Brightwood Park. In conversations with neighbors, I have reminded them that I take daily walks around the SMD and encourage folks to say hello or share ideas if they see me walking. If elected, I would continue to use online media, including social media, when possible, to share resources and ways folks can get involved. I would also share news through WhatsApp groups and Nextdoor.com posts, given that neighbors have stated these are other ways they would like to see their ANC connect with constituents. Additionally, I would encourage people to stop me if they see me so we can preserve the supportive environment we’ve created in Brightwood Park and ensure people understand that their ANC is a neighbor who wants to work alongside them to make a difference.","I have been a District resident for 10 years, and throughout my time here, I have worked tirelessly to be a supportive community member. I began my career in the District, serving as a public-school teacher for five years, including two years at Capital City Public Charter School right here in Ward 4, where I taught 8th-grade humanities to students from our community during the COVID-19 pandemic. After my time in the classroom, I served in the United States Senate as an education and workforce policy advisor. I later took those learnings into public-sector consulting, where I have worked with government leaders across the country to expand childcare options for working families, improve teacher pay, and strengthen community programs addressing housing affordability for economically vulnerable residents. Today, I run a public-sector consulting business based in Brightwood Park and continue to serve local families as a member of the Board of Directors for Latin American Montessori Bilingual Public Charter School (LAMB PCS). I have a proven track record of putting my community first, and I know that I can continue to be a force for meaningful change in my SMD if elected as our next ANC.",Thanks for your time and consideration of my submission. Please look at my website (linked in the submission) to learn more about me and call my campaign at (443) 489-6203 if additional questions arise.
119183681609,Gail Fast,,,,6D,6D03,Not enough homes,"It's more important to preserve the character of our neighborhoods, and the District’s land-use regulations should reflect that.",Means-tested or income-restricted; Rent-controlled; Costing no more than 30 percent of one’s household income,Not means-tested or income-restricted; Built by private developers; Expensive; Unsubsidized; Not rent-controlled; Costing more than 30 percent of one’s household income,"Affordable means affordable and currently most ""affordable"" housing has been at 60-80% of MFI. There is not enough affordable housing at the 30% MFI being built so District residents that really need to have a chance of home ownership are being denied that opportunity.","District-owned housing on District-owned land, built by a District agency and managed by a District agency; District-owned housing on District-owned land, built by a private construction company and managed by a District agency",Having at least 3 bedrooms and 2 bathrooms.,Enough historic districts,"Yes, inducing residents and visitors to drive less should be an explicit policy goal of the District.",Enough cars,One,Not enough parking,Enough bars and restaurants,"New housing should be built almost exclusively near transit or on major corridors. Adding new housing is important, but so is protecting neighborhoods from change. Limiting denser development to land near transit or on major corridors is a reasonable compromise.","Yes, apartments should be legal in all parts of all the District's neighborhoods.","I answered ""yes,""","No, height and mass should not be removed from the purview of the Historic Preservation Review Board.",I agree that 15 percent of all homes in a planning area should be affordable.,"6D03 saw the largest boom in housing development in the last 10-years. In fact, Southwest has had more housing development than anywhere in the District. In addition, Southwest added the largest number of affordable units during Mayor Bowsers tenure. We are also experiencing a huge growth in Buzzard Point which will bring 6,000 new residences and 9,000 new residents to Southwest.","I would prefer to negotiate a PUD. The delay in the production of new housing is worth the potential for—if not the guarantee of—benefits such as improvements to streets and sidewalks or more income-restricted, subsidized units than are required by District law.",I would not support enabling an additional home per lot in R and RF zones.,If their home is further than a 10-minute walk to a bus stop or train station.,"Yes, I support removing parking and travel lanes to build dedicated bus lanes.","No, I do not support removing parking and travel lanes to build protected bike lanes.","No, I do not support the implementation of road pricing.","Yes, I will participate in the National Week Without Driving every fall.","Since I only drive to go food shopping, I can take the bus (or metro) to Harris Teeter or Trader Joes.","With the sale of the remaining two lots at Waterfront Station, we are losing any opportunity to create the ""Main Street"" on 4th Street SW that I worked on when I served on the Advisory Board of the SW Small Area Plan. We need to fight the current proposed matter-of-right development, bring more housing to those spaces (steps from the Waterfront metro) and insist on retail to activate the area. If the proposed development of townhouses goes through, we will have missed an opportunity to create the vision of ""Southwest.""  Work to improve the Better Bus system in my neighborhood. We lost two bus lines (one that goes N - S up 7th Street SW, the other E-W on I Street SW. I plan to advocate to bring  back those routes, or if I can't get the entire route back -- see how it can be incorporated in to current bus routes.","I think most of my constituents share my values of what makes Southwest ""Southwest."" We are concerned about affordable housing/utilities, increases in crime, want better transportation and more services close to home (ie: urgent care, Farmers Market, etc.). However Southwest is welcoming, resilient and a community that embraces economic, social and cultural diversity. So as long as I stay true to that, my decisions will be representative of my constituents.","I have lived in Southwest for 35-years, arriving 6 months before the Waterfront Metro broke ground. I've watched Southwest's development (some good; some not so good) and was part of the Advisory Board of the Southwest Small Area Plan and Buzzard Point Vision.  I've witnessed the changes and think that during my tenure, so far, as an ANC Commissioner I've helped make Southwest a great place to live, work and play. I feel that having lived here for as long as I have helps me to navigate change while maintaining Southwest's core values of diversity and equity.","While I may have answered that I don't support moving travel lanes for dedicated bus and bike lanes, it is because the city has not figured out how to do it successfully. If you travel to city's like Amsterdam and Copenhagen you will see signage, dedicated signalization and dedicated travel lanes for buses, bicycles and cars. If we could master that, I would be 100% supportive."
119183451264,Andrew Pendleton,,,,5F,5F05,Not enough homes,"It's more important to enable more homes, and more types of homes, in more of our neighborhoods, even if that results in pushback for “changing a neighborhood’s character.”",Means-tested or income-restricted; Subsidized; Rent-controlled,Not means-tested or income-restricted; Unsubsidized; Not rent-controlled,"Market-rate housing is housing whose cost isn't subject to subsidy, and whose access isn't subject to needs-based limitations or price controls. Capital-A Affordable housing typically refers to housing that *is* subject to such subsidy, filtering, and/or controls, though ultimately what is or isn't affordable will depend on individual household circumstances, and with sufficiently ample housing supply, market-rate housing might eventually become lowercase-A ""affordable"" to most households.","District-owned housing on District-owned land, built by a District agency and managed by a District agency; District-owned housing on District-owned land, built by a District agency and managed by a private property-management company; District-owned housing on District-owned land, built by a private construction company and managed by a District agency; District-owned housing on District-owned land, built by a private construction company and managed by a private property-management company","Any number of people can constitute a family, so in some sense, any housing can be family-sized housing. DC has a particularly acute shortage, however, of housing with three or more bedrooms, as recent construction trends have favored one-bedroom units and studios. Ensuring an adequate supply of these multi-bedroom units is critical to ensuring that growing families continue to feel welcome in the District.",Too many historic districts,"Yes, inducing residents and visitors to drive less should be an explicit policy goal of the District.",Too many cars,Zero,Too much parking,Too few bars and restaurants,"New housing of all types should be built throughout all neighborhoods. Building more densely near transit is important, but people also deserve the option to live in rowhomes and small apartment buildings, even if those homes are not within a set proximity to a bus stop or train station.","Yes, apartments should be legal in all parts of all the District’s neighborhoods, and I would introduce a resolution supporting the legalization of sixplexes in the Comprehensive Plan rewrite.",N/A,"Yes, height and mass should be removed from the purview of the Historic Preservation Review Board, and I would introduce a resolution supporting such a policy.",I agree that 15 percent of all homes in a planning area should be affordable.,"ANC 5F likely has the greatest potential for new housing via better use of the currently mostly-industrially-zoned land along the west side of the Metropolitan Branch Trail, between Alethia Tanner Park and the Rhode Island Ave Metro. Current uses of this land don't fully capitalize on its proximity to transit. More generally, however, I would support strengthening by-right housing construction throughout the ANC to allow additional density to continue to be added to all existing single-family rowhouse lots.","I would prefer that development in my ANC be by-right. Knowing that what is zoned is all that is possible to build creates predictability for residents and housing providers, which is worth forgoing a negotiation for possible benefits.",I would support a zoning text amendment enabling an additional home per lot in R and RF zones.,If their home is further than a 20-minute walk to a bus stop or train station.,"Yes, I support removing parking and travel lanes to build dedicated bus lanes.","Yes, I support removing parking and travel lanes to build protected bike lanes, and would introduce a resolution in support of doing so in my ANC.","Yes, I support the implementation of road pricing.","Yes, I will participate in the National Week Without Driving every fall.","I haven't owned a car in the entirety of the my more than two decades in DC, and get around primarily by bike. To the extent that I use cars, it's mostly rideshares to the airport at times when the train isn't running or when I have lots of luggage. I'll continue to favor transit as much as I can in these cases.","Street safety. Many neighbors are frustrated with how fast cars move through many of our streets. I'm committed to helping make our streets safer for all users, and am eager to explore speed bumps, road diets, and other traffic-calming measures, as well as better-protected infrastructure for pedestrians and cyclists, and better connections for these users to the MBT.  Seek new traffic calming measures within my SMD, particularly along 2nd St NE. I'd also push for the ANC to aggressively engage in the upcoming Comprehensive Plan revision process in hopes of making District-wide housing targets as aggressive as possible.","I believe in being open with and accessible to members of the community, and plan to be available in person at community events as well as by email, to do my best to ensure that everyone feels heard. At the same time, I'm running because I'm passionate about transportation and housing issues, and I know that on housing especially, the constituencies most impacted by the lack of affordable housing aren't often the ones politicians typically hear from. There will likely be circumstances when these issues arise where I'll have no choice but to vote according to my conscience, and do my best to empathetically hear the perspectives of neighbors with whom I disagree.","I've lived in Eckington for over a decade, and I'm passionate about transportation safety and housing affordability, both major issues I've heard come up again and again while talking with neighbors in this campaign thus far. I think ANCs have an outsized opportunity to be able to meaningfully make policy change in these areas, and I'm eager to champion them as a commissioner in ANC 5F.","ANC 5F has a track record over the past several cycles of ambition on housing issues in particular, having advanced resolutions that meaningfully improved proposed revisions to the FLUM. The outgoing commissioner for my SMD, who's retiring as of this term, was part of the coalition of commissioners that made this progress possible, and I'm eager to continue her and their legacy, particularly going into the upcoming Comprehensive Plan revision cycle. I'm also a near-daily MBT user, and see the trail as a critical resource and transportation artery, so I'm excited to see how the ANC can engage in seeing it continue to improve and be made more accessible, and for the land that abuts it to be further activated."
119183410418,Joshua Peacock,,,,3C,3C06,Not enough homes,"It's more important to enable more homes, and more types of homes, in more of our neighborhoods, even if that results in pushback for “changing a neighborhood’s character.”",Subsidized,Unsubsidized,"I decided on only one option for each of these because I think there has been too much of a  conflation of capital “A” Affordable and lower-case “a” affordable. “Affordable” was the euphemism to replace “subsidized” because of the connotation, but has become many different things to many different people. A market-rate unit can be “affordable” but not “Affordable.” $3,000/month for a 2 bedroom is “affordable” for the DC median household (approx. ⅓ of $107,000/year) but not what many would colloquially consider “affordable.” Saying a developer is building a 10-unit building with an “affordable” unit makes it sound like the unit is being begrudgingly provided by the developer out of their profit instead of a “Affordable” unit being paid for by increasing the costs of the other nine. Many people wonder then mistakenly why all the units cannot be “affordable,” and blame nebulous greed instead of real material conditions.","District-owned housing on District-owned land, built by a District agency and managed by a District agency; District-owned housing on District-owned land, built by a District agency and managed by a private property-management company; District-owned housing on District-owned land, built by a private construction company and managed by a District agency; District-owned housing on District-owned land, built by a private construction company and managed by a private property-management company","It would be housing suitable for children and adults to live and go through multiple life stages together, with at least one bedroom per two people. A place intended for multi-year or multi-decade stays all-year round.",Too many historic districts,"Yes, inducing residents and visitors to drive less should be an explicit policy goal of the District.",Too many cars,One,Too much parking,Enough bars and restaurants,"New housing of all types should be built throughout all neighborhoods. Building more densely near transit is important, but people also deserve the option to live in rowhomes and small apartment buildings, even if those homes are not within a set proximity to a bus stop or train station.","Yes, apartments should be legal in all parts of all the District's neighborhoods.",N/A,"Yes, height and mass should be removed from the purview of the Historic Preservation Review Board, and I would introduce a resolution supporting such a policy.",I do not agree that 15 percent of all homes in a planning area should be affordable.,"My SMD has plenty of room to build more apartments without losing any greenspace! There could easily be multistory apartments put in the Sam’s Park & Shop parking lot or above the strip mall itself. The one-story shops on Connecticut Ave could have 5 or so floors placed above it (the same height as the existing Klingle Apts on Macomb and Connecticut). The Ordway Gardens can be redeveloped to be twice as high and the parking lots in the Macomb Odds Alleyway can be built on. Houses on Williamsburg and Porter could be converted into sixplexes, though that is a further walk away from the metro stop.","I would prefer that development in my ANC be by-right. Knowing that what is zoned is all that is possible to build creates predictability for residents and housing providers, which is worth forgoing a negotiation for possible benefits.","I would support enabling an additional home per lot in R and RF zones, and would introduce a resolution in support of such a zoning text amendment.",If their home is further than a 15-minute walk to a bus stop or train station.,"Yes, I support removing parking and travel lanes to build dedicated bus lanes, and would introduce a resolution in support of doing so in my ANC.","Yes, I support removing parking and travel lanes to build protected bike lanes, and would introduce a resolution in support of doing so in my ANC.","Yes, I support the implementation of road pricing, and would introduce a resolution in support of the District doing so.","Yes, I will participate in the National Week Without Driving every fall.","I rarely drive but do when I take my cat to the vet, which is feasible on foot (though he would hate it!). I could also take Amtrak to visit my parents or in-laws instead of driving.","The sheer inability to afford to live here long-term. The cheapest properties are a few recently built condos that go for $900,000 and single-family homes that exist are $5 million or more. People are always moving out because they cannot afford to start a family and stay here. The businesses have frequent turnover because the few people who do live here are not enough to provide the revenue for them to pay astronomical commercial rents. There are years-long empty commercial buildings such as the old Target in the strip mall, the Uptown and adjoining buildings, the old Yenching restaurant, and numerous shopfronts are vacant without a sizeable customer base. The grocery stores are available but boutique, requiring a trip to Van Ness or further up the Red Line for a full grocery store like Giant or Wegman’s. The neighborhood is also dominated by six-lane Connecticut Ave, making it unwelcome for people to spend time in the neighborhood and difficult to enjoy being out and about.  Seek to make Cleveland Park a more welcoming and desirable place to live. I want to hold more  events that bring the community out like Cleveland Park Day, something like the Dupont Circle Farmer’s Market to support local businesses. I support more car-free street events and think that something like that would be perfect between Cleveland Park and the Zoo. I would push for the adoption of ZC 25-09 to upzone Cleveland Park, and to go beyond that in the future. I will endeavor to make safety a priority for DDOT with the installation of speed bumps on Porter St, and to fix the intersection of Porter and Connecticut that encourages reckless behavior. I want a bus lane to be on Connecticut Ave for the riders of the D70, and I want to resurrect the Connecticut Ave bike lane.","To anyone that I have spoken with, I have been upfront and honest about what I think would make Cleveland Park and my SMD better. Many people disagree, and I will hear out the concerns that people have, and I will try to work with them where possible. But I will not back down in my hope for a better Cleveland Park. I believe in bus lanes, bike lanes, and denser housing, and I believe they make a neighborhood more affordable, safer, and walkable for children and adults of all ages.","I love DC, and I have loved living in Cleveland Park. I think this neighborhood has been allowed to stagnate and become an afterthought in DC despite its rich history, easy transit access, and diverse amenities. I am optimistic about the future, and I think that Cleveland Park can bloom into the envy of the city. That, however, needs Commissioners willing to put in the time and effort to unravel the suffocating patchwork of rules and laws that have been passed specifically to stop any change in the area for the past almost 40 years. I think I am someone with the energy and vision to make that happen. We are more than a six-lane highway and a historical plaque, Cleveland Park is thousands of Washingtonians who love their city and their corner of it and want to make it better. It is a neighborhood that could rival any in the District, and I want to be there to make it happen.","As someone who rides the bus and metro every day, has walked all over the city, and occasionally been known to bike, I think that car-free or car-lite is one of the best ways to enjoy the city. So much of our city is held back by needing to have parking lots, we have a huge amount of untapped potential in our parking system and charging dynamic parking prices would be a great way to generate revenue and encourage people to drive less. We can also tie car registration to size or weight of vehicles, requiring vehicles that weigh more to pay more for road use.  I don’t think that government and private provision of housing are in conflict with one another. I know that frequently there is debate about if markets can provide enough housing at a low enough price point to house everyone, but I think that they can complement one another. Private housing induces affordability cascades that provide better units for lower rents in a neighborhood, not to mention the market has the capital DC does not to build enough housing to bring down rents. If Jubilee’s construction costs are standard, it would be almost $1 million per apartment built by the District. In 2025 there were almost 2,000 housing starts, a 15 year low,  which would mean DC needs to spend $2 billion a year, or one-sixth of its entire annual capital budget, just to match private housing starts in today’s post-DOGE, high interest-rate DC economy.  The District can provide counter-cyclical development during economic downturns that insure our housing is not at the whims of macroeconomic conditions. DHCD could also provide new-housing in low-investment areas that have difficulty attracting buyers. I do think that any District-owned housing should be revenue neutral or even positive. We have seen frequently with DHCD and DOB where buildings are allowed to fall into disrepair because they do not have the money to stay in good condition or because the political will to keep them up has dissipated. Allowing District-housing to be at the mercy of yearly budget debates, tax receipts, and voting cycles makes them vulnerable, they will need to be able to stand up on their own."
119183388054,Oliver Roy,,oliver4dc facebook,,6A,6A01,Not enough homes,"It's more important to enable more homes, and more types of homes, in more of our neighborhoods, even if that results in pushback for “changing a neighborhood’s character.”",Built by the government; Cheap; Subsidized; Rent-controlled,Built by private developers; Expensive; Unsubsidized; Not rent-controlled,"Affordable housing and market-rate housing serve different purposes, and both have a place in a healthy community. Market-rate housing is priced according to current real estate conditions and what the private market will support. Affordable housing, however, is intentionally structured so that lower- and moderate-income residents are not forced to spend an unreasonable share of their income on rent or housing costs.  For me, affordability must be measured against what residents actually earn—not simply whether a unit is cheaper than another unit in the same development. Teachers, service workers, seniors, people with disabilities, working families, and longtime DC residents should be able to live in the communities they help sustain.  As an ANC Commissioner, I would support responsible development that includes a meaningful mix of housing options. New market-rate development can contribute to neighborhood growth, but it should not come at the expense of displacement. I would advocate for deeply affordable units, stronger tenant protections, preservation of existing affordable housing, homeownership opportunities, and development policies that allow residents of different income levels to remain part of our community.","District-owned housing on District-owned land, built by a District agency and managed by a District agency; District-owned housing on District-owned land, built by a District agency and managed by a private property-management company; District-owned housing on District-owned land, built by a private construction company and managed by a District agency","Affordable housing and market-rate housing serve different purposes, and both have a place in a healthy community. Market-rate housing is priced according to current real estate conditions and what the private market will support. Affordable housing, however, is intentionally structured so that lower- and moderate-income residents are not forced to spend an unreasonable share of their income on rent or housing costs.  For me, affordability must be measured against what residents actually earn—not simply whether a unit is cheaper than another unit in the same development. Teachers, service workers, seniors, people with disabilities, working families, and longtime DC residents should be able to live in the communities they help sustain.  As an ANC Commissioner, I would support responsible development that includes a meaningful mix of housing options. New market-rate development can contribute to neighborhood growth, but it should not come at the expense of displacement. I would advocate for deeply affordable units, stronger tenant protections, preservation of existing affordable housing, homeownership opportunities, and development policies that allow residents of different income levels to remain part of our community.",Enough historic districts,"No, inducing residents and visitors to drive less should not be an explicit policy goal of the District.",Too many cars,Two,Not enough parking,Enough bars and restaurants,"New housing should be built almost exclusively near transit or on major corridors. Adding new housing is important, but so is protecting neighborhoods from change. Limiting denser development to land near transit or on major corridors is a reasonable compromise.","Yes, apartments should be legal in all parts of all the District’s neighborhoods, and I would introduce a resolution supporting the legalization of sixplexes in the Comprehensive Plan rewrite.",yes,"Yes, height and mass should be removed from the purview of the Historic Preservation Review Board.","I agree that 15 percent of all homes in a planning area should be affordable, and would introduce a resolution in support of such a policy.","Affordable housing and market-rate housing serve different purposes, and both have a place in a healthy community. Market-rate housing is priced according to current real estate conditions and what the private market will support. Affordable housing, however, is intentionally structured so that lower- and moderate-income residents are not forced to spend an unreasonable share of their income on rent or housing costs.  For me, affordability must be measured against what residents actually earn—not simply whether a unit is cheaper than another unit in the same development. Teachers, service workers, seniors, people with disabilities, working families, and longtime DC residents should be able to live in the communities they help sustain.  As an ANC Commissioner, I would support responsible development that includes a meaningful mix of housing options. New market-rate development can contribute to neighborhood growth, but it should not come at the expense of displacement. I would advocate for deeply affordable units, stronger tenant protections, preservation of existing affordable housing, homeownership opportunities, and development policies that allow residents of different income levels to remain part of our community.","I would prefer to negotiate a PUD. The delay in the production of new housing is worth the potential for—if not the guarantee of—benefits such as improvements to streets and sidewalks or more income-restricted, subsidized units than are required by District law.","I would support enabling an additional home per lot in R and RF zones, and would introduce a resolution in support of such a zoning text amendment.",If their home is further than a 30-minute walk or longer to a bus stop or train station.,"No, I do not support removing parking and travel lanes to build dedicated bus lanes.","No, I do not support removing parking and travel lanes to build protected bike lanes.","No, I do not support the implementation of road pricing, and would introduce a resolution in opposition to the District doing so.","Yes, I will participate in the National Week Without Driving every fall.",I take the bus or train all the time every where.,Parking  i would introduce the most realistically approch to the issue doing in my ANC.,a get out to vote plan for my ANC.,"Oliver Linner Roy is the right person to serve as ANC Commissioner because he brings decades of community advocacy, public service, and hands-on experience helping Washington, DC residents navigate real challenges. As a native Washingtonian, parent advocate, former foster child, foster parent, nonprofit leader, and disability advocate, Oliver understands both the struggles families face and the importance of responsive local leadership.  Through The Linner Foundation and Family First Resource Center, Oliver has connected thousands of residents with housing, employment, food, health, disability, mental health, education, and family-support resources. He has also served on several DC advisory councils and commissions, giving him experience working with government agencies while remaining accountable to the community.  Oliver believes an ANC Commissioner should be visible, accessible, responsive, and willing to work. His priorities include safer neighborhoods, affordable housing, stronger support for seniors and people with disabilities, better opportunities for youth, responsible development, cleaner communities, and greater government transparency.  Oliver is not seeking the position simply to hold a title. He wants to serve, listen, advocate, and deliver results for the residents of his SMD. He will bring experience, compassion, persistence, and a Family First approach to neighborhood leadership.",United States
